iter	Passed	Remaining
0	0	74
1	0	78
2	1	87
3	1	84
4	2	81
5	2	77
6	2	74
7	2	71
8	3	71
9	3	70
10	4	69
11	4	67
12	4	66
13	4	65
14	5	64
15	5	63
16	5	63
17	6	62
18	6	62
19	6	62
20	7	64
21	8	64
22	8	64
23	8	64
24	9	64
25	9	63
26	9	63
27	10	62
28	10	62
29	10	61
30	11	61
31	11	61
32	12	61
33	12	61
34	13	62
35	13	62
36	14	62
37	14	61
38	14	61
39	15	60
40	15	60
41	15	59
42	16	59
43	16	58
44	16	58
45	17	57
46	17	57
47	18	57
48	18	56
49	18	56
50	19	55
51	19	55
52	19	54
53	20	54
54	20	53
55	20	53
56	20	52
57	21	52
58	21	51
59	21	51
60	22	50
61	22	50
62	22	49
63	23	49
64	23	48
65	23	48
66	24	48
67	24	47
68	24	47
69	25	46
70	25	46
71	25	45
72	25	45
73	26	44
74	26	44
75	26	43
76	27	43
77	27	42
78	27	42
79	28	42
80	28	41
81	28	41
82	29	40
83	29	40
84	29	40
85	30	39
86	30	39
87	30	39
88	31	38
89	31	38
90	31	37
91	31	37
92	32	37
93	32	36
94	32	36
95	33	35
96	33	35
97	33	35
98	34	34
99	34	34
100	34	33
101	35	33
102	35	33
103	35	32
104	35	32
105	36	32
106	36	31
107	36	31
108	37	31
109	37	30
110	37	30
111	38	29
112	38	29
113	38	29
114	38	28
115	39	28
116	39	28
117	40	28
118	40	27
119	41	27
120	41	27
121	41	26
122	42	26
123	42	26
124	42	25
125	43	25
126	43	25
127	43	24
128	44	24
129	44	23
130	44	23
131	45	23
132	45	22
133	45	22
134	46	22
135	46	21
136	46	21
137	46	21
138	47	20
139	47	20
140	47	20
141	48	19
142	48	19
143	48	18
144	49	18
145	49	18
146	49	17
147	49	17
148	50	17
149	50	16
150	50	16
151	51	16
152	51	15
153	51	15
154	52	15
155	52	14
156	52	14
157	53	14
158	53	13
159	53	13
160	54	13
161	54	12
162	54	12
163	55	12
164	55	11
165	55	11
166	56	11
167	56	10
168	56	10
169	57	10
170	57	9
171	58	9
172	58	9
173	58	8
174	58	8
175	59	8
176	59	7
177	59	7
178	60	7
179	60	6
180	60	6
181	61	6
182	61	5
183	61	5
184	62	5
185	62	4
186	62	4
187	63	4
188	63	3
189	63	3
190	64	3
191	64	2
192	64	2
193	65	2
194	65	1
195	65	1
196	66	1
197	66	0
198	67	0
199	67	0
